EIN,Name,City,Classification Code,Name_Length,Name_Word_Count,city_freq,state_freq,city_freq_log,state_freq_log,State_CA,State_DC,State_FL,State_MA,State_MD,State_ME,State_NH,State_NJ,State_NY,State_SC,State_TX,State_VT,Class_Prefix_GR,Class_Prefix_PC,Class_Prefix_PF,Class_Prefix_PO,Class_Prefix_SO,Class_Prefix_UN,Name_Length_Bin_medium,Name_Length_Bin_long
587764,Iglesia Bethesda Inc.,Lowell,PC,21,3,-0.5920219254460324,-3.9840190891673744,-1.0348499941084262,-3.2284673584027193,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
635913,Ministerio Apostolico Jesucristo Es El Senor Inc.,Lawrence,PC,49,7,-0.5920219254460324,-3.9840190891673744,-1.0348499941084262,-3.2284673584027193,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
765634,Mercy Chapel International,Mattapan,PC,26,3,-0.5126198431705452,-3.9840190891673744,-0.6124149888838903,-3.2284673584027193,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
841363,Agape House of Prayer,Mattapan,PC,21,4,-0.5126198431705452,-3.9840190891673744,-0.6124149888838903,-3.2284673584027193,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
852649,Bethany Presbyterian Church,Brookline,PC,27,3,-0.5920219254460324,-3.9840190891673744,-1.0348499941084262,-3.2284673584027193,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
889899,Academic and Behavioral Clinic Inc.,Boston,PC,35,5,-0.5920219254460324,-3.9840190891673744,-1.0348499941084262,-3.2284673584027193,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
1347537,Restoration of Hope Church Ministries,Roxbury,PC,37,5,-0.5920219254460324,-3.9840190891673744,-1.0348499941084262,-3.2284673584027193,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
1689178,Safe Haven Residential Services Inc.,Randolph,PC,36,5,-0.5920219254460324,-3.9840190891673744,-1.0348499941084262,-3.2284673584027193,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2030711,Church of Our Lord Jesus Christ of Macedonia,Newark,PC,44,8,-0.5920219254460324,-4.048281607542227,-1.0348499941084262,-4.163311257869088,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
2067446,Usta National Junior Tennis League Inc.,White Plains,POF,39,6,-0.5920219254460324,-4.048281607542227,-1.0348499941084262,-4.163311257869088,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
